,_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,Longitude,Latitude,Neighbourhood
0,1,4236992,900,Tapscott Rd,900 Tapscott Rd,Scarborough,4236991,1520443,2,211,1982,23,Scarborough North,-79.2428700353868,43.8239927252015,Malvern
1,3,764237,106,Ascot Ave,106 Ascot Ave,former Toronto,1140634,1541526,37,342,1915,9,Davenport,-79.4486262604651,43.6793661319391,Corso Italia-Davenport
2,4,819425,65,Hendrick Ave,65 Hendrick Ave,former Toronto,1140587,1543317,36,343,1962,12,Toronto-St. Paul's,-79.4307521572934,43.68010515177521,Wychwood
3,5,12763904,260,Adelaide St W,260 Adelaide St W,former Toronto,12763900,1558261,85,332,1971,10,Spadina-Fort York,-79.3895641902632,43.64830653395,Kensington-Chinatown
4,6,6349868,745,Meadowvale Rd,745 Meadowvale Rd,Scarborough,6349869,1567567,68,214,1982,25,Scarborough-Rouge Park,-79.1636016041726,43.7942107669436,Highland Creek
5,7,10757599,140,Lansdowne Ave,140 Lansdowne Ave,former Toronto,14674741,1578612,28,426,1972,4,Parkdale-High Park,-79.4388667003996,43.6450864408369,Roncesvalles
6,8,7027887,590,Jane St,590 Jane St,York,20004277,1605282,30,422,1965,4,Parkdale-High Park,-79.4909411711192,43.6644021870805,Runnymede-Bloor West Village
7,9,4792285,10,William Carson Cres,10 William Carson Cres,North York,13971133,1662173,91,121,1988,15,Don Valley West,-79.4067807494981,43.7485400772289,Lawrence Park North
8,10,7063061,267,Humberline Dr,267 Humberline Dr,Etobicoke,7063044,1662239,81,412,1975,1,Etobicoke North,-79.6176378075318,43.7381082893591,West Humber-Clairville
9,11,843876,16,Montgomery Ave,16 Montgomery Ave,former Toronto,1138230,1662464,7,134,1932,8,Eglinton-Lawrence,-79.3997683142874,43.709656759521,Yonge-Eglinton
10,12,7762642,12,Grosvenor St,12 Grosvenor St,former Toronto,14673186,1669763,47,314,1939,13,Toronto Centre,-79.3846617684612,43.6630574201831,Bay Street Corridor
11,13,6522583,33,Claremont St,33 Claremont St,former Toronto,1146109,1701571,41,331,1968,10,Spadina-Fort York,-79.40977375240172,43.6473361193742,Trinity-Bellwoods
12,14,8823994,115,Parkway Forest Dr,115 Parkway Forest Dr,North York,8823988,1783376,14,115,1983,17,Don Valley North,-79.340686070112,43.7744035511644,Henry Farm
13,16,9847351,476,Lawrence Ave W,476 Lawrence Ave W,North York,9694792,1852933,9,132,1999,8,Eglinton-Lawrence,-79.4285718669164,43.7197981523396,Englemount-Lawrence
14,17,10142756,615,Royal York Rd,615 Royal York Rd,Etobicoke,10142758,1918334,25,433,1953,3,Etobicoke-Lakeshore,-79.5029381693498,43.628018538118205,Stonegate-Queensway
15,18,6044964,947,Martin Grove Rd,947 Martin Grove Rd,Etobicoke,6044958,1959089,22,441,1964,1,Etobicoke North,-79.5719196489125,43.6949604663995,Willowridge-Martingrove-Richview
16,19,69771,555,Oakwood Ave,555 Oakwood Ave,York,7809,1961768,38,341,1968,12,Toronto-St. Paul's,-79.4411405905638,43.6945203032832,Oakwood Village
17,20,6738444,3,Lunness Rd,3 Lunness Rd,Etobicoke,6738419,1977909,24,434,1958,3,Etobicoke-Lakeshore,-79.5439889406404,43.6025703358919,Alderwood
18,21,8741293,20,Balmoral Ave,20 Balmoral Ave,former Toronto,20062243,1995083,50,311,1911,12,Toronto-St. Paul's,-79.3939758413006,43.6859508063859,Yonge-St.Clair
19,22,8837366,153,Chatham Ave,153 Chatham Ave,former Toronto,20080084,2004250,86,323,1963,14,Toronto-Danforth,-79.3346621153039,43.6795428878229,Blake-Jones
20,23,2219446,40,Coronation Dr,40 Coronation Dr,Scarborough,2219434,2004920,57,234,1966,24,Scarborough-Guildwood,-79.1915220291274,43.7610681663423,Guildwood
21,26,330710,2575,Eglinton Ave E,2575 Eglinton Ave E,Scarborough,111065,2048861,66,221,2014,20,Scarborough Southwest,-79.2550627035035,43.7347901432983,Kennedy Park
22,27,6620011,1313,Woodbine Ave,1313 Woodbine Ave,East York,6620012,2062647,63,224,1950,19,Beaches-East York,-79.3165970101621,43.6951874596139,Woodbine-Lumsden
23,28,4570660,2340,Birchmount Rd,2340 Birchmount Rd,Scarborough,4570662,2063805,52,244,1971,22,Scarborough-Agincourt,-79.2991153286616,43.7816824952725,Tam O-Shanter-Sullivan
24,29,6294642,87,Main St,87 Main St,former Toronto,1140025,2080935,61,226,1910,19,Beaches-East York,-79.2990652659353,43.681923340992405,East End-Danforth
25,30,11541989,143,Bond Ave,143 Bond Ave,North York,11541986,2108616,12,123,1956,16,Don Valley East,-79.346726033251,43.7458140063562,Banbury-Don Mills
26,31,7785457,3135,Yonge St,3135 Yonge St,former Toronto,7785453,2119715,10,131,1931,15,Don Valley West,-79.4021572823979,43.7262170049856,Lawrence Park North
27,33,9486826,116,Dorset Rd,116 Dorset Rd,Scarborough,14666179,2172861,64,223,1953,20,Scarborough Southwest,-79.2332610776553,43.7239567617954,Cliffcrest
28,34,8714126,740,Markham Rd,740 Markham Rd,Scarborough,8714123,2175731,59,231,1960,24,Scarborough-Guildwood,-79.2277876628423,43.7646440088669,Woburn
29,35,8677247,34,Yorkville Ave,34 Yorkville Ave,former Toronto,14014191,2224532,49,312,1876,11,University-Rosedale,-79.3889203795552,43.6718748612736,North St.James Town
30,36,4840624,4560,Sheppard Ave E,4560 Sheppard Ave E,Scarborough,4840625,2236216,53,243,1972,23,Scarborough North,-79.2629602053098,43.7891369171176,Agincourt South-Malvern West
31,37,1027149,666,Renforth Dr,666 Renforth Dr,Etobicoke,910843,2238015,20,444,1965,2,Etobicoke Centre,-79.5826959880308,43.6574667398934,Eringate-Centennial-West Deane
32,38,354673,5318,Lawrence Ave E,5318 Lawrence Ave E,Scarborough,107237,2250005,67,215,1974,25,Scarborough-Rouge Park,-79.1480658922187,43.7773919350636,Centennial Scarborough
33,39,7583839,358,Keele St,358 Keele St,former Toronto,14014794,2286011,80,423,1954,4,Parkdale-High Park,-79.4647539608107,43.6647417825914,High Park North
34,40,20110476,8500,Sheppard Ave E,8500 Sheppard Ave E,Scarborough,104501,2303629,75,212,2003,25,Scarborough-Rouge Park,-79.1886200061229,43.8049322415793,Rouge
35,41,9980187,1904,Queen St E,1904 Queen St E,former Toronto,9980168,2309211,60,227,1905,19,Beaches-East York,-79.3050381995295,43.6691630088656,The Beaches
36,42,2374883,755,Warden Ave,755 Warden Ave,Scarborough,8741020,2449586,65,222,1960,20,Scarborough Southwest,-79.28409061959681,43.7203994274048,Clairlea-Birchmount
37,43,19832,256,Cosburn Ave,256 Cosburn Ave,East York,14646506,2455220,45,322,1994,14,Toronto-Danforth,-79.3423437199078,43.6909861622398,Old East York
38,44,11533910,7,Lapsley Rd,7 Lapsley Rd,Scarborough,11533909,2458686,1,213,1974,23,Scarborough North,-79.2259619086159,43.7954066088734,Malvern
39,45,990940,280,Burnhamthorpe Rd,280 Burnhamthorpe Rd,Etobicoke,911274,2544120,19,445,1960,2,Etobicoke Centre,-79.5451030832103,43.649348178119,Islington-City Centre West
40,46,982440,1549,Albion Rd,1549 Albion Rd,Etobicoke,906946,2546874,33,413,1972,1,Etobicoke North,-79.5869058522884,43.7402187055703,Mount Olive-Silverstone-Jamestown
41,47,8731578,255,Esther Shiner Blvd,255 Esther Shiner Blvd,North York,30005958,2607109,78,116,2007,17,Don Valley North,-79.3650636554859,43.7691459436276,Bayview Village
42,48,8100063,155,The East Mall,155 The East Mall,Etobicoke,8100062,2609714,26,432,1980,3,Etobicoke-Lakeshore,-79.5493536952449,43.6233410114915,Islington-City Centre West
43,49,5464019,3600,Danforth Ave,3600 Danforth Ave,Scarborough,5464008,2642292,62,225,1998,20,Scarborough Southwest,-79.2684946045652,43.6959168731747,Birchcliffe-Cliffside
44,50,6942838,308,Prince Edward Dr S,308 Prince Edward Dr S,Etobicoke,6942837,2663266,27,431,1958,3,Etobicoke-Lakeshore,-79.5048470438209,43.6464360660255,Kingsway South
45,51,9655766,2120,Kipling Ave,2120 Kipling Ave,Etobicoke,9655751,2750607,32,415,1954,1,Etobicoke North,-79.5703767704744,43.7178772080563,Rexdale-Kipling
46,52,560567,700,Seneca Hill Dr,700 Seneca Hill Dr,North York,436832,2788036,16,113,1969,17,Don Valley North,-79.3508330020753,43.7931779343076,Don Valley Village
47,53,20035267,1505,Lawrence Ave W,1505 Lawrence Ave W,North York,9796670,2829802,8,133,1962,5,York South-Weston,-79.482184879151,43.7071848480233,Brookhaven-Amesbury
48,54,792196,83,Deforest Rd,83 Deforest Rd,former Toronto,1146026,2943084,29,425,1964,4,Parkdale-High Park,-79.4780588288151,43.6479870238738,High Park-Swansea
49,55,9531843,6,Lambton Ave,6 Lambton Ave,York,9531839,2973435,31,421,1956,5,York South-Weston,-79.4853016276853,43.6843003946467,Beechborough-Greenbrook
50,56,531061,2753,Jane St,2753 Jane St,North York,442012,2982185,5,142,1982,7,Humber River-Black Creek,-79.51437064341631,43.7459827062059,Glenfield-Jane Heights
51,57,7974292,240,Howland Ave,240 Howland Ave,former Toronto,30017353,2997539,83,344,1910,11,University-Rosedale,-79.4118241402967,43.6729622271664,Annex
52,58,770042,132,Bellevue Ave,132 Bellevue Ave,former Toronto,30017518,3000730,46,315,1878,11,University-Rosedale,-79.4047817252926,43.6568245874366,University
53,60,14076681,30,Knox Ave,30 Knox Ave,former Toronto,30021411,3024003,42,326,1980,14,Toronto-Danforth,-79.3250072916157,43.6615387594206,Greenwood-Coxwell
54,61,6168242,475,Dundas St E,475 Dundas St E,former Toronto,6168241,3030229,43,325,1954,13,Toronto Centre,-79.3648542022226,43.6593705340714,Moss Park
55,62,1009102,1724,Islington Ave,1724 Islington Ave,Etobicoke,30023253,3035181,21,443,1958,2,Etobicoke Centre,-79.5385536449026,43.678071015543,Princess-Rosethorn
56,63,4723662,2220,Jane St,2220 Jane St,North York,30006795,3072600,3,146,1956,7,Humber River-Black Creek,-79.5097760967724,43.7235728614792,Rustic
57,64,9741247,1009,Sheppard Ave W,1009 Sheppard Ave W,North York,9741246,3083829,4,143,1956,6,York Centre,-79.4597267967044,43.7506541444208,Bathurst Manor
58,65,308625,1600,Birchmount Rd,1600 Birchmount Rd,Scarborough,108988,3093030,51,245,1960,21,Scarborough Centre,-79.2915184052647,43.7626918218058,Dorset Park
59,66,6661414,207,Front St E,207 Front St E,former Toronto,1145261,3119337,84,333,1970,13,Toronto Centre,-79.3661539690352,43.6505208079754,Moss Park
60,67,396134,3325,Warden Ave,3325 Warden Ave,Scarborough,14663726,3174616,55,241,1980,22,Scarborough-Agincourt,-79.3238025417745,43.8140419797109,Steeles
61,68,6275804,20,Beffort Rd,20 Beffort Rd,North York,6275627,3186765,76,145,1989,6,York Centre,-79.4600322095888,43.7347555131408,Clanton Park
62,69,6686397,200,Bermondsey Rd,200 Bermondsey Rd,North York,6682365,3217085,56,235,1960,16,Don Valley East,-79.3149344230792,43.7242534211126,Victoria Village
63,70,9796836,2015,Lawrence Ave W,2015 Lawrence Ave W,York,9796835,3234576,79,442,1990,5,York South-Weston,-79.5123844108684,43.7005987011636,Weston
64,71,13497504,75,Toryork Dr,75 Toryork Dr,North York,10367893,3301795,34,411,1964,7,Humber River-Black Creek,-79.5491654346987,43.75525826208751,Humber Summit
65,72,9313399,5700,Bathurst St,5700 Bathurst St,North York,14661127,3311629,17,112,1978,6,York Centre,-79.4442860463118,43.7762855215206,Westminster-Branson
66,74,9602654,3300,Bayview Ave,3300 Bayview Ave,North York,20050112,3311708,18,111,1979,18,Willowdale,-79.3936558799113,43.7901270072937,Newtonbrook East
67,75,13498086,12,Canterbury Pl,12 Canterbury Pl,North York,438636,3311726,15,114,1989,18,Willowdale,-79.4153547749349,43.7726358500692,Willowdale West
68,76,13497616,90,Quebec St,90 Quebec St,former Toronto,30060516,3800221,82,346,1912,10,Spadina-Fort York,-79.42132972700702,43.6336769750109,Niagara
69,79,14069050,339,Queens Quay W,339 Queens Quay W,former Toronto,10223459,4061713,40,334,2000,10,Spadina-Fort York,-79.388613016358,43.6376903109341,Waterfront Communities-The Island
70,80,808592,840,Gerrard St E,840 Gerrard St E,former Toronto,14024937,4135973,44,324,1931,14,Toronto-Danforth,-79.3435181858772,43.6677666816198,North Riverdale
71,81,14120199,441,Bloor St E,441 Bloor St E,former Toronto,1141663,4164722,48,313,1967,13,Toronto Centre,-79.3755640527746,43.6720950557577,North St.James Town
72,82,14076406,235,Cibola Ave,235 Cibola Ave,former Toronto,30086097,4173463,39,335,1995,10,Spadina-Fort York,-79.3590745052274,43.6254007460108,Waterfront Communities-The Island
73,83,10411391,1285,Dufferin St,1285 Dufferin St,former Toronto,30101053,4256598,35,345,1963,9,Davenport,-79.4382561763956,43.6673118906754,Dovercourt-Wallace Emerson-Junction
74,84,8168331,325,Chaplin Cres,325 Chaplin Cres,former Toronto,8166572,4271268,6,135,2014,8,Eglinton-Lawrence,-79.4187941157764,43.7031244599412,Forest Hill North
75,85,487657,2545,Bayview Ave,2545 Bayview Ave,North York,30107421,4299669,13,122,1959,15,Don Valley West,-79.3837259589611,43.7486446150086,St.Andrew-Windfields
76,86,9487007,2733,Brimley Rd,2733 Brimley Rd,Scarborough,30108578,4308527,54,242,1975,23,Scarborough North,-79.2772562802889,43.8069196445835,Agincourt North
77,87,12491266,1109,Leslie St,1109 Leslie St,North York,30112872,4324089,11,125,1985,16,Don Valley East,-79.3491121871106,43.721135794691,Thorncliffe Park
78,88,30013624,4100,Keele St,4100 Keele St,North York,30020840,4350759,77,141,2011,7,Humber River-Black Creek,-79.4927235946077,43.7668215104353,York University Heights
79,89,998837,130,Eighth St,130 Eighth St,Etobicoke,30118412,4352480,23,435,1920,3,Etobicoke-Lakeshore,-79.5069699933954,43.6011185170765,New Toronto
80,90,2820826,1550,Midland Ave,1550 Midland Ave,Scarborough,30122712,4393085,58,232,1963,21,Scarborough Centre,-79.2668510713279,43.7549669455776,Bendale
81,91,8292449,59,Curlew Dr,59 Curlew Dr,North York,8292440,4395143,92,233,1995,16,Don Valley East,-79.3143827967515,43.7439181729465,Victoria Village
82,92,3890947,231,McRae Dr,231 McRae Dr,East York,3890945,4400109,87,321,1946,15,Don Valley West,-79.3646982931217,43.7087140108462,Leaside-Bennington
